pdf,doi,title,journal,publisher,year,access
acsomega.0c05382.pdf,10.1021/acsomega.0c05382,"Carboxylated PEG-Functionalized MnFe<sub>2</sub>O<sub>4</sub> Nanocubes Synthesized in a Mixed Solvent: Morphology, Magnetic Properties, and Biomedical Applications",ACS Omega,American Chemical Society (ACS),2021,1.0
acsomega.8b03004.pdf,10.1021/acsomega.8b03004,Cu-Doped Extremely Small Iron Oxide Nanoparticles with Large Longitudinal Relaxivity: One-Pot Synthesis and in Vivo Targeted Molecular Imaging,ACS Omega,American Chemical Society (ACS),2019,1.0
ja104503g.pdf,10.1021/ja104503g,Self-Confirming “AND” Logic Nanoparticles for Fault-Free MRI,Journal of the American Chemical Society,American Chemical Society (ACS),2010,1.0
nl102623x.pdf,10.1021/nl102623x,Coating Optimization of Superparamagnetic Iron Oxide Nanoparticles for High T<sub>2</sub> Relaxivity,Nano Letters,American Chemical Society (ACS),2010,1.0
nn101643u.pdf,10.1021/nn101643u,Effects of Nanoparticle Size on Cellular Uptake and Liver MRI with Polyvinylpyrrolidone-Coated Iron Oxide Nanoparticles,ACS Nano,American Chemical Society (ACS),2010,1.0
nn305991e.pdf,10.1021/nn305991e,Engineered Iron-Oxide-Based Nanoparticles as Enhanced <i>T</i><sub>1</sub> Contrast Agents for Efficient Tumor Imaging,ACS Nano,American Chemical Society (ACS),2013,1.0
nn5038652.pdf,10.1021/nn5038652,Interplay between Longitudinal and Transverse Contrasts in Fe<sub>3</sub>O<sub>4</sub> Nanoplates with (111) Exposed Surfaces,ACS Nano,American Chemical Society (ACS),2014,1.0
ncomms15468.pdf,10.1038/ncomms15468,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,Nature Communications,Springer Science and Business Media LLC,2017,1.0
ncomms3266.pdf,10.1038/ncomms3266,Octapod iron oxide nanoparticles as high-performance T2 contrast agents for magnetic resonance imaging,Nature Communications,Springer Science and Business Media LLC,2013,1.0
s41467-024-47537-5.pdf,10.1038/s41467-024-47537-5,Interface-induced dual-pinning mechanism enhances low-frequency electromagnetic wave loss,Nature Communications,Springer Science and Business Media LLC,2024,1.0
s41598-018-19676-5.pdf,10.1038/s41598-018-19676-5,The exchange bias behavior of BiFeO3 nanoparticles with natural core-shell structure,Scientific Reports,Springer Science and Business Media LLC,2018,1.0
s41598-019-55649-y.pdf,10.1038/s41598-019-55649-y,On the first evidence of exchange-bias feature in magnetically contrasted consolidates made from CoFe2O4-CoO core-shell nanoparticles,Scientific Reports,Springer Science and Business Media LLC,2019,1.0
s41598-020-74188-5.pdf,10.1038/s41598-020-74188-5,Tuning structural and magnetic properties of Fe oxide nanoparticles by specific hydrogenation treatments,Scientific Reports,Springer Science and Business Media LLC,2020,1.0
s41598-020-75669-3.pdf,10.1038/s41598-020-75669-3,A comparative investigation of normal and inverted exchange bias effect for magnetic fluid hyperthermia applications,Scientific Reports,Springer Science and Business Media LLC,2020,1.0
s41598-023-43734-2.pdf,10.1038/s41598-023-43734-2,Highly efficient lead removal from water by Nd0.90Ho0.10FeO3 nanoparticles and studying their optical and magnetic properties,Scientific Reports,Springer Science and Business Media LLC,2023,1.0
s41598-024-65757-z.pdf,10.1038/s41598-024-65757-z,Core and surface structure and magnetic properties of mechano-synthesized LaFeO3 nanoparticles and their Eu3+-doped and Eu3+/Cr3+-co-doped variants,Scientific Reports,Springer Science and Business Media LLC,2024,1.0
srep06641.pdf,10.1038/srep06641,Uncoupled surface spin induced exchange bias in α-MnO2 nanowires,Scientific Reports,Springer Science and Business Media LLC,2014,1.0
C7NR03740F.pdf,10.1039/C7NR03740F,Tuning the coercivity and exchange bias by controlling the interface coupling in bimagnetic core/shell nanoparticles,Nanoscale,Royal Society of Chemistry (RSC),2017,1.0
D1RA01902C.pdf,10.1039/D1RA01902C,A temperature-dependent switching of the exchange bias effect from negative to positive under a fixed intermediate cooling field,RSC Advances,Royal Society of Chemistry (RSC),2021,1.0
D2MA00629D.pdf,10.1039/D2MA00629D,A detailed investigation of the core@shell structure of exchanged coupled magnetic nanoparticles after performing solvent annealing,Materials Advances,Royal Society of Chemistry (RSC),2022,1.0
D2TC03144B.pdf,10.1039/D2TC03144B,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,1.0
D3NA01108A.pdf,10.1039/D3NA01108A,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,1.0
c5nr00055f.pdf,10.1039/c5nr00055f,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,Nanoscale,Royal Society of Chemistry (RSC),2015,1.0
c5nr00774g.pdf,10.1039/c5nr00774g,Europium-engineered iron oxide nanocubes with high T<sub>1</sub>and T<sub>2</sub>contrast abilities for MRI in living subjects,Nanoscale,Royal Society of Chemistry (RSC),2015,1.0
c6nr01303a.pdf,10.1039/c6nr01303a,Studying the effect of Zn-substitution on the magnetic and hyperthermic properties of cobalt ferrite nanoparticles,Nanoscale,Royal Society of Chemistry (RSC),2016,1.0
c7ra05495e.pdf,10.1039/c7ra05495e,"Synthesis, characterization, and evaluation of PEGylated first-row transition metal ferrite nanoparticles as T<sub>2</sub>contrast agents for high-field MRI",RSC Advances,Royal Society of Chemistry (RSC),2017,1.0
d0na00820f.pdf,10.1039/d0na00820f,Tunable magnetothermal properties of cobalt-doped magnetite–carboxymethylcellulose ferrofluids: smart nanoplatforms for potential magnetic hyperthermia applications in cancer therapy,Nanoscale Advances,Royal Society of Chemistry (RSC),2021,1.0
d1na00312g.pdf,10.1039/d1na00312g,Interplay between inter- and intraparticle interactions in bi-magnetic core/shell nanoparticles,Nanoscale Advances,Royal Society of Chemistry (RSC),2021,1.0
d1nr03335b.pdf,10.1039/d1nr03335b,"Unveiling the role of surface, size, shape and defects of iron oxide nanoparticles for theranostic applications",Nanoscale,Royal Society of Chemistry (RSC),2021,1.0
d2ra04454d.pdf,10.1039/d2ra04454d,Exchange bias and magnetic memory effect in hole doped Nd<sub>0.78</sub>Sr<sub>0.22</sub>CoO<sub>3</sub>nanoparticles,RSC Advances,Royal Society of Chemistry (RSC),2022,1.0
d2tc03144b.pdf,10.1039/d2tc03144b,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,1.0
1.2736303.pdf,10.1063/1.2736303,Observation of Co/CoO nanoparticles below the critical size for exchange bias,Journal of Applied Physics,AIP Publishing,2007,1.0
1.2739217.pdf,10.1063/1.2739217,Exchange bias in Co-Cr2O3 nanocomposites,Journal of Applied Physics,AIP Publishing,2007,1.0
1.4926424.pdf,10.1063/1.4926424,Tunable exchange bias effect in magnetic Bi0.9Gd0.1Fe0.9Ti0.1O3 nanoparticles at temperatures up to 250 K,Journal of Applied Physics,AIP Publishing,2015,1.0
1.4979919.pdf,10.1063/1.4979919,Well-controlled exchange bias effect in MnO@Mn3O4 core-shell nanoparticles with an inverted coupling structures,AIP Advances,AIP Publishing,2017,1.0
1.4982893.pdf,10.1063/1.4982893,"Magnetic properties, exchange bias, and memory effects in core-shell superparamagnetic nanoparticles of La0.67Sr0.33MnO3",Journal of Applied Physics,AIP Publishing,2017,1.0
