pdf,doi,title,publisher,year,access
uzal2022,10.1016/j.ccr.2022.214606,Prediction of Gd(III) complex thermodynamic stability,Elsevier BV,2022,1
uzal2023,10.1016/j.ccr.2022.214606,Prediction of Gd(III) complex thermodynamic stability,Elsevier BV,2022,1
wadas2010,10.1021/cr900325h,"Coordinating Radiometals of Copper, Gallium, Indium, Yttrium, and Zirconium for PET and SPECT Imaging of Disease",American Chemical Society (ACS),2010,1
abram2006,10.1590/S0103-50532006000800004,Technetium and rhenium: coordination chemistry and nuclear medical applications,FapUNIFESP (SciELO),2006,1
